"WTA Singles Titles","3","11","1","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"WTA Doubles Titles","0","0","2","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"ITF Women's Circuit Singles Titles","0","6","3","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"ITF Women's Circuit Doubles Titles","0","4","4","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"Prize Money","$3,918,127","$10,477,535","5","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"W/L - Singles","49 - 17","314 - 151","6","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"W/L - Doubles","2 - 5","44 - 47","7","http://www.wtatennis.com/players/player/13516/title/simona-halep"
