"WTA FINALS","25-Oct-2015","R1","Loss","http://www.wtatennis.com/players/player/9499/title/maria-sharapova","[3] Maria Sharapova (RUS)","4","6-4 6-4","1","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"WTA FINALS","25-Oct-2015","R1","Loss","http://www.wtatennis.com/players/player/11530/title/agnieszka-radwanska","[5] Agnieszka Radwanska (POL)","6","7-6 (5) 6-1","2","http://www.wtatennis.com/players/player/13516/title/simona-halep"
"WTA FINALS","25-Oct-2015","R1","Win","http://www.wtatennis.com/players/player/6578/title/flavia-pennetta","[7] Flavia Pennetta (ITA)","8","6-0 6-3","3","http://www.wtatennis.com/players/player/13516/title/simona-halep"
